Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
1,Soluk 1993 ECOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,,Mean,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,4.96E+00,Alternate species length,2,m^2.5 per pred per day,0.31,2.24E-02,9.85E-03,9.02E-02,2.14E-02,9.38E-03,3.46E-02,
2,Soluk 1993 ECOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,,Mean,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,6.66E+00,Alternate species length,2,m^2.5 per pred per day,0.4,2.47E-03,1.61E-03,1.02E-02,2.11E-02,9.32E-10,9.33E-02,
3,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2,Raw data,N,12,26,,1,1.96E+01,,4.61E-03,Alternate species length,4,2.05E-03,Alternate species length,2,m^2 per pred per day,0.96,1.01E-02,9.21E-03,1.14E-02,2.34E-02,1.93E-02,2.66E-02,
4,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2,Raw data,N,12,26,,1,1.96E+01,,2.49E+00,% adult mass,5,2.05E-03,Alternate species length,2,m^2 per pred per day,0.94,9.17E-03,7.39E-03,1.10E-02,5.60E-03,3.58E-03,6.56E-03,
5,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2,Raw data,N,12,26, ,1,1.96E+01,,4.61E-03,Alternate species length,4,9.42E-03,% adult mass,3,m^2 per pred per day,0.87,8.49E-03,5.96E-03,1.09E-02,2.46E-02,1.66E-02,3.01E-02,
6,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2,Raw data,N,12,26,,1,1.96E+01,,2.49E+00,% adult mass,5,9.42E-03,% adult mass,3,m^2 per pred per day,0.95,1.20E-02,1.03E-02,1.43E-02,7.51E-03,6.61E-03,8.33E-03,
7,Parajulee 2006 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysopa oculata,2nd and 3rd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2,Mean,N,,29,,1,7.85E+01,,2.05E+01,% adult mass,4,2.68E-03,Alternate species length,1,m^2 per pred per day,0.5,2.38E-02,1.54E-02,3.54E-02,1.01E-02,5.98E-03,1.45E-02,
8,Parajulee 2006 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris punctipes,Adult,3,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2,Mean,N,,29,,1,7.85E+01,,1.69E+00,Alternate species length,1,2.68E-03,Alternate species length,1,m^2 per pred per day,0.33,2.00E-02,9.19E-03,3.45E-02,1.09E-02,1.32E-09,1.85E-02,
9,Enkegaard et al 2001 ENTO EXP APPL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Greenhouse whitefly,Trialeurodes vaporariorum,1st instar,2,Mean,N,23,22,,1,5.82E+01,,2.24E+00,Alternate species length,1,4.12E-04,Alternate species length,3,m^2 per pred per day,0.66,3.02E-03,2.54E-03,3.81E-03,1.11E-08,2.63E-10,5.47E-03,
10,Sepulveda and Carrillo 2008 REV BIO TROP,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Chileseius camposi,Adult,3,Metazoan,Invertebrate,Arachnid,Mite,European red mite,Panonychus ulmi,Adult female,2,Mean,N,24,20,,1,3.14E+00,,6.13E-02,Alternate order mass,1,2.53E-02,Alternate species length,1,m^2 per pred per day,0.11,8.77E-05,3.28E-05,1.98E-04,2.14E-01,2.16E-03,3.65E-01,
