"V1" "V2"
"109-Trichilo and Leigh 1986" "12"
"143-O'Donoghue et al 1998" "8"
"144-O'Donoghue et al 1998" "8"
"156-Bovy et al 2015" "14"
"157-Bovy et al 2015" "11"
"159-Bovy et al 2015" "9"
"160-Bovy et al 2015" "9"
"161-Bovy et al 2015" "12"
"162-Bovy et al 2015" "13"
"163-Bovy et al 2015" "13"
"164-Bovy et al 2015" "11"
"165-Anderson 2016" "12"
"166-Anderson 2016" "9"
"188-Sundell et al 2000" "13"
"189-Dale et al 1994" "11"
"191-Angerbj?rn 1989" "9"
"192-Korpimäki and Norrdahl 1991" "11"
"193-Korpimäki and Norrdahl 1991" "11"
"194-Korpimäki and Norrdahl 1991" "11"
"234-LeCato and Arbogast 1979" "12"
"235-LeCato and Arbogast 1979" "12"
"236-LeCato and Arbogast 1979" "12"
"237-LeCato and Arbogast 1979" "12"
"238-LeCato and Arbogast 1979" "12"
"239-LeCato and Arbogast 1979" "12"
"481-Coll and Ridgeway 1995" "12"
"482-Coll and Ridgeway 1995" "12"
"483-Coll and Ridgeway 1995" "12"
"491-Gilg et al 2006" "12"
"517-Michalko and Pekar 2017" "12"
"518-Michalko and Pekar 2017" "11"
"519-Michalko and Pekar 2017" "11"
"520-Michalko and Pekar 2017" "13"
"538-Chigbu and Sibley 1994" "12"
"554-Holling 1959" "7"
"555-Holling 1959" "10"
"556-Holling 1959" "7"
"558-Holling 1959" "12"
"559-Holling 1959" "12"
"572-Båmstedt 1998" "12"
"584-Jaspers et al 2011" "8"
"653-Båmstedt et al 1994" "14"
"654-Båmstedt et al 1994" "7"
"655-Båmstedt et al 1994" "7"
"656-Båmstedt et al 1994" "7"
"657-Båmstedt et al 1994" "7"
"658-Båmstedt et al 1994" "7"
"659-Båmstedt et al 1994" "7"
"673-De Lafontaine and Leggett 1987" "8"
"674-De Lafontaine and Leggett 1987" "6"
"675-De Lafontaine and Leggett 1987" "9"
"676-De Lafontaine and Leggett 1987" "6"
"685-Sell et al 2001" "9"
"686-Sell et al 2001" "9"
"687-Sell et al 2001" "9"
"688-Sell et al 2001" "12"
"689-Sell et al 2001" "12"
"690-Sell et al 2001" "12"
"691-Sell et al 2001" "9"
"692-Sell et al 2001" "9"
"693-Sell et al 2001" "9"
"694-Sell et al 2001" "9"
"695-Sell et al 2001" "9"
"707-De Lafontaine and Leggett 1988" "7"
"708-De Lafontaine and Leggett 1988" "7"
"709-De Lafontaine and Leggett 1988" "8"
"710-De Lafontaine and Leggett 1988" "7"
"711-De Lafontaine and Leggett 1988" "7"
"712-De Lafontaine and Leggett 1988" "9"
"713-De Lafontaine and Leggett 1988" "12"
"715-De Lafontaine and Leggett 1988" "8"
"716-De Lafontaine and Leggett 1988" "7"
"717-De Lafontaine and Leggett 1988" "7"
"718-De Lafontaine and Leggett 1988" "7"
"719-De Lafontaine and Leggett 1988" "7"
"739-Hassell et al 1977" "12"
"740-Hassell et al 1977" "12"
"741-Hassell et al 1977" "12"
"742-Hassell et al 1977" "9"
"743-Hassell et al 1977" "9"
"744-Hassell et al 1977" "13"
"748-Lampitt 1978" "7"
"751-Olsen et al 2000" "12"
"752-Olsen et al 2000" "14"
"764-Frost 1972" "13"
"775-Wood and Hand 1985" "12"
"782-Wood and Hand 1985" "9"
"787-Båmstedt 1990" "5"
"788-Båmstedt 1990" "5"
"789-Båmstedt 1990" "5"
"790-Båmstedt 1990" "5"
"791-Båmstedt 1990" "5"
"835-Reeve et al 1978" "8"
"836-Reeve et al 1978" "12"
"841-Reeve et al 1978" "14"
"842-Kremer et al 1986" "10"
"843-Kremer et al 1986" "10"
"844-Kremer et al 1986" "8"
"845-Kremer et al 1986" "10"
"846-Kremer et al 1986" "10"
"847-Kremer et al 1986" "10"
"848-Kremer et al 1986" "10"
"853-Messier 1994" "14"
"888-Helenius and Saiz 2017" "9"
"974-Pekar et al 2014" "14"
"979-Pekar et al 2014" "11"
"1013-Chang et al 1993" "14"
"1015-Chang et al 1993" "12"
"1017-Chang et al 1993" "12"
"1188-Hassell et al 1977" "7"
"1189-Hassell et al 1977" "7"
"1198-Moss et al 2007" "10"
"1199-Moss et al 2007" "9"
"1201-Moss et al 2007" "5"
"1223-O'Brien et al 2001" "14"
"1224-O'Brien et al 2001" "14"
"1225-O'Brien et al 2001" "8"
"1229-Buckel and Stoner 2000" "12"
"1381-Houde and Schekter 1980" "12"
"1382-Houde and Schekter 1980" "12"
"1383-Houde and Schekter 1980" "12"
"1384-Houde and Schekter 1980" "12"
