"V1" "V2"
"7-Parajulee 2006" "2"
"30-Rocha and Redaelli 2004" "9"
"34-Thompson 1978" "1"
"35-Thompson 1978" "1"
"36-Thompson 1978" "1"
"37-Thompson 1978" "2"
"38-Thompson 1978" "2"
"39-Thompson 1978" "2"
"99-Chow et al 1983" "1"
"100-Chow et al 1983" "1"
"101-Chow et al 1983" "1"
"111-Trichilo and Leigh 1986" "1"
"137-Dick et al 2013" "2"
"152-Laverty et al 2014" "2"
"153-Laverty et al 2014" "2"
"171-Anderson et al 2015" "2"
"186-Sharifan et al 2016" "2"
"191-Angerbj?rn 1989" "10"
"201-Isenhour and Yeargan 1981" "2"
"214-Ding-Xu et al 2007" "2"
"227-Ding-Xu et al 2007" "2"
"233-Everson 1979" "10"
"239-LeCato and Arbogast 1979" "2"
"345-Nagai & Yano 2000" "2"
"348-Nagai & Yano 2000" "2"
"375-Castagnoli and Simoni 1999" "2"
"376-Castagnoli and Simoni 1999" "2"
"383-Madadi et al 2007" "2"
"385-Madadi et al 2007" "2"
"412-Gergs & Ratte 2009" "2"
"416-Gergs & Ratte 2009" "2"
"433-Monteleone & Duguay 1988" "2"
"436-Sandberg 1997" "1"
"454-Bollache et al 2008" "2"
"463-Bollache et al 2008" "2"
"466-Bollache et al 2008" "2"
"476-Carillo and Peña 2012" "2"
"477-Rindone and Eggleston 2011" "2"
"536-Ferla et al 2011" "1"
"557-Holling 1959" "12"
"558-Holling 1959" "6"
"559-Holling 1959" "4"
"579-MacNeil et al 2013" "2"
"586-Alexander et al 2013" "2"
"596-Márquez et al 2007" "1"
"606-Alexander et al 2013" "2"
"631-Dumont et al 1994" "2"
"632-Dumont et al 1994" "3"
"633-Dumont et al 1994" "2"
"634-Dumont et al 1994" "2"
"635-Dumont et al 1994" "3"
"636-Dumont et al 1994" "3"
"637-Dumont et al 1994" "3"
"654-Båmstedt et al 1994" "10"
"655-Båmstedt et al 1994" "15"
"656-Båmstedt et al 1994" "16"
"657-Båmstedt et al 1994" "16"
"658-Båmstedt et al 1994" "16"
"659-Båmstedt et al 1994" "27"
"660-Márquez et al 2007" "2"
"661-Márquez et al 2007" "2"
"662-Márquez et al 2007" "1"
"675-De Lafontaine and Leggett 1987" "2"
"676-De Lafontaine and Leggett 1987" "2"
"680-Von Westernhagen and Rosenthal 1976" "2"
"681-Von Westernhagen and Rosenthal 1976" "3"
"683-Sell et al 2001" "2"
"684-Sell et al 2001" "2"
"685-Sell et al 2001" "2"
"686-Sell et al 2001" "2"
"687-Sell et al 2001" "3"
"689-Sell et al 2001" "2"
"690-Sell et al 2001" "2"
"691-Sell et al 2001" "2"
"692-Sell et al 2001" "2"
"693-Sell et al 2001" "2"
"694-Sell et al 2001" "3"
"695-Sell et al 2001" "2"
"707-De Lafontaine and Leggett 1988" "2"
"708-De Lafontaine and Leggett 1988" "2"
"709-De Lafontaine and Leggett 1988" "3"
"712-De Lafontaine and Leggett 1988" "2"
"714-De Lafontaine and Leggett 1988" "4"
"719-De Lafontaine and Leggett 1988" "3"
"720-Akre and Johnson 1979" "3"
"721-Akre and Johnson 1979" "5"
"723-Akre and Johnson 1979" "2"
"724-Akre and Johnson 1979" "2"
"725-Akre and Johnson 1979" "2"
"726-Akre and Johnson 1979" "2"
"727-Akre and Johnson 1979" "3"
"729-Akre and Johnson 1979" "2"
"753-Olsen et al 2000" "12"
"762-Hansen and Nielsen 1997" "1"
"773-Cothran and Thorp 1985" "1"
"785-Båmstedt 1990" "104"
"787-Båmstedt 1990" "121"
"788-Båmstedt 1990" "138"
"789-Båmstedt 1990" "148"
"790-Båmstedt 1990" "163"
"791-Båmstedt 1990" "165"
"794-Greene et al 1986" "6"
